Country,Deaths
Afghanistan,57.975
United Kingdom,4.209
Finland,2.311
United States of America,6.345
Albania,9.843
Algeria,22.683
India,32.632
Andorra,2.532
Angola,71.471
Equatorial Guinea,78.49
Antarctica,0
Antigua and Barbuda,6.392
Argentina,8.557
Armenia,10.941
Netherlands,4.16
Australia,3.696
Austria,3.622
Azerbaijan,19.388
Portugal,3.304
"Korea, South",3.033
Bahamas,12.258
Bahrain,6.757
Spain,3.246
Bangladesh,29.105
Barbados,12.248
France,4.367
Belarus,2.909
Belize,11.663
Benin,85.939
Bhutan,27.624
Bolivia,25.369
Japan,2.49
Denmark,3.615
Botswana,44.844
Papua New Guinea,43.926
Norway,2.199
Brazil,14.696
Brunei,11.511
Bulgaria,6.147
Burkina Faso,84.991
Burma,43.653
Burundi,54.353
Cambodia,25.678
Cameroon,72.208
Canada,4.993
c,#N/A
Central African Republic,102.997
Chad,110.047
New Zealand,4.72
Chile,6.752
China,7.342
Colombia,13.187
Comoros,61.338
Congo (Brazzaville),44.634
Congo (Kinshasa),44.634
Costa Rica,7.912
Cote d'Ivoire,77.913
Croatia,4.551
Cuba,5.106
Cyprus,#N/A
Czech Republic,2.92
Djibouti,55.878
Dominica,35.447
Dominican Republic,33.76
Ecuador,12.953
Egypt,19.456
El Salvador,12.875
Eritrea,39.267
Estonia,2.114
Ethiopia,48.708
Federated States of Micronesia,34.15
Fiji,27.431
Gabon,41.734
"Gambia, The",49.368
Indeterminate,0
Georgia,9.257
Germany,3.652
Ghana,44.706
Greece,4.072
Grenada,16.351
Guatemala,23.646
Guinea,95.556
Guinea-Bissau,76.839
Guyana,28.404
Haiti,60.481
Honduras,16.216
Hungary,4.047
Iceland,1.934
Indonesia,23.005
Iran,12.943
Iraq,25.238
Ireland,3.024
Italy,2.908
Israel,3.581
Jamaica,13.28
Jordan,15.017
Russia,5.415
Kazakhstan,10.019
Kenya,41.874
Kiribati,49.591
"Korea, North",16.5
Kosovo,11.354
Kuwait,8.856
Kyrgyzstan,17.533
Laos,44.077
Latvia,4.003
Lebanon,6.984
Lesotho,89.52
Liberia,78.28
Libya,11.133
Liechtenstein,1.0354
Lithuania,3.275
Luxembourg,2.783
Macedonia,5.932
Madagascar,50.238
Malawi,38.579
Malaysia,8.625
Maldives,6.462
Mali,90.99
Malta,6.458
Marshall Islands,30.667
Mauritania,70.71
Mauritius,16.517
Mexico,13.675
Moldova,14.475
Monaco,3.021
Mongolia,15.365
Montenegro,2.388
Morocco,18.687
Mozambique,70.552
Namibia,40.161
Nauru,28.491
Nepal,28.159
Nicaragua,16.038
Niger,77.517
Nigeria,113.773
Oman,11.006
Pakistan,65.183
Palau,16.852
Panama,14.339
Timor-Leste,42.272
Paraguay,18.896
Peru,12.824
Philippines,26.366
Poland,4.363
South Africa,32.222
Sao Tome and Principe,16.142
Qatar,5.763
Romania,6.882
Rwanda,40.47
Saint Kitts and Nevis,14.991
Saint Lucia,24.405
Saint Vincent and the Grenadines,14.118
Samoa,17.007
San Marino,1.759
Saudi Arabia,7.009
Senegal,38.084
Seychelles,13.941
Sierra Leone,107.831
Singapore,2.236
Slovakia,5.755
Slovenia,2.178
Solomon Islands,19.376
Somalia,114.618
Somaliland,21.5834
Sudan,56.576
Sri Lanka,6.928
Yemen,59.581
Suriname,17.57
Swaziland,60.5513
Sweden,2.637
Switzerland,3.999
Syria,22.402
Taiwan,7.342
Tajikistan,32.279
Tanzania,48.867
Thailand,8.65
Trinidad and Tobago,16.596
Togo,64.383
Tonga,11.411
Tunisia,16.618
Turkey,9.486
Turkish Republic of Northern Cyprus,2.771
Turkmenistan,41.758
Tuvalu,22.005
Uganda,43.316
Ukraine,8.114
United Arab Emirates,6.573
Uruguay,6.186
Uzbekistan,13.948
Vanuatu,24.925
Vatican (Holy Sea),0
Venezuela,24.22
Vietnam,20.936
Zambia,61.378
Zimbabwe,53.888
Serbia,5.632
Bosnia and Herzegovina,5.729
Belgium,4.235
