ISO_Code,Continent,Country_Name,Year,Infant_Deaths,Total_Population,Number_Births,Life_Expectancy,Infant_Mortality_Rate,Population_Growth,GDP_Per_Capita_GR,GDP_Per_Captia,Covid_Cases,% Population using Basic Saniation,Pre_Covid
AFG,Asia,Afghanistan,2016,60700,34636207.5,1315746,63.1361,4.61%,None,N/A,512.0127781,None,44.20121748,Y
AFG,Asia,Afghanistan,2017,58923,35643417.5,1332116,63.016,4.42%,2.91%,0.91%,516.6798622,None,45.78912703,Y
AFG,Asia,Afghanistan,2018,57231,36686784,1355895,63.081,4.22%,2.93%,-6.00%,485.6684187,None,47.39066209,Y
AFG,Asia,Afghanistan,2019,55690,37769498.5,1377704,63.5645,4.04%,2.95%,1.75%,494.1793499,None,49.00616952,Y
ASM,Oceania,American Samoa,2020,#N/A,46189,809,72.4432,#N/A,-2.39%,-3.83%,1709.764129,#N/A,54.45476038,N
ALB,Europe,Albania,2016,294,2881063,32584,78.8602,0.90%,None,N/A,1673.843681,None,98.10790338,Y
ALB,Europe,Albania,2017,290,2879355,31350,79.0473,0.93%,-0.06%,-3.61%,1613.490478,None,98.54729837,Y
ALB,Europe,Albania,2018,289,2877013,30304,79.1838,0.95%,-0.08%,5.62%,1704.135698,None,98.97364391,Y
ALB,Europe,Albania,2019,290,2873883.5,29773,79.2825,0.97%,-0.11%,4.33%,1777.852822,None,99.18306692,Y
AIA,North America,Anguilla,2020,#N/A,15585,151,76.902,#N/A,1.34%,-8.51%,37416.69772,13,#N/A,N
DZA,Africa,Algeria,2016,21610,40339328.5,1015743,75.7318,2.13%,None,N/A,1673.843681,None,86.60548472,Y
DZA,Africa,Algeria,2017,21337,41136546,1018808,75.7428,2.09%,1.98%,-3.61%,1613.490478,None,86.45882598,Y
DZA,Africa,Algeria,2018,20873,41927007,1009713,76.0656,2.07%,1.92%,5.62%,1704.135698,None,86.30309248,Y
DZA,Africa,Algeria,2019,20239,42705368.5,995239,76.4742,2.03%,1.86%,4.33%,1777.852822,None,86.13850411,Y
ABW,North America,Aruba,2020,#N/A,106584.5,863,75.7229,#N/A,0.13%,-19.47%,13992.74448,5489,0,N
ASM,Oceania,American Samoa,2016,#N/A,50448,984,72.3712,#N/A,None,N/A,1673.843681,None,55.60755445,Y
