DATAFLOW,REF_AREA:Geographic area,Country Name,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,Afghanistan,CME_MRY0T4: Under-five mortality rate,F: Female,2016,63.8006944,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,53.74407973,74.34662025,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,Afghanistan,CME_MRY0T4: Under-five mortality rate,F: Female,2017,61.14737673,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,50.38466758,72.39283268,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,Afghanistan,CME_MRY0T4: Under-five mortality rate,F: Female,2018,58.7281588,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,47.17697721,70.97434983,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,Afghanistan,CME_MRY0T4: Under-five mortality rate,F: Female,2019,56.39619923,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,44.09743484,70.07544757,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,Afghanistan,CME_MRY0T4: Under-five mortality rate,F: Female,2020,54.34453435,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,41.35493251,69.42051049,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,Afghanistan,CME_MRY0T4: Under-five mortality rate,M: Male,2016,70.96491256,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,59.68023478,82.58847504,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,Afghanistan,CME_MRY0T4: Under-five mortality rate,M: Male,2017,68.22714564,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,56.13725686,80.79718112,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,Afghanistan,CME_MRY0T4: Under-five mortality rate,M: Male,2018,65.81294132,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,52.8440018,79.70094476,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,Afghanistan,CME_MRY0T4: Under-five mortality rate,M: Male,2019,63.52847737,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,49.8297814,78.99504782,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,Afghanistan,CME_MRY0T4: Under-five mortality rate,M: Male,2020,61.36284788,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,46.71265955,78.74038471,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,Afghanistan,CME_MRY0T4: Under-five mortality rate,_T: Total,2016,67.48670655,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,56.83052875,78.43201161,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,Afghanistan,CME_MRY0T4: Under-five mortality rate,_T: Total,2017,64.83309395,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,53.41864309,76.56575953,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,Afghanistan,CME_MRY0T4: Under-five mortality rate,_T: Total,2018,62.33866698,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,50.18707573,75.34148693,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,Afghanistan,CME_MRY0T4: Under-five mortality rate,_T: Total,2019,60.13503364,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,47.10371251,74.60499771,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,Afghanistan,CME_MRY0T4: Under-five mortality rate,_T: Total,2020,57.97538446,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,44.17673412,74.15637848,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,Albania,CME_MRY0T4: Under-five mortality rate,F: Female,2016,8.623720151,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,8.233427603,9.045583755,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,Albania,CME_MRY0T4: Under-five mortality rate,F: Female,2017,8.63863252,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,8.221264732,9.089949778,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,Albania,CME_MRY0T4: Under-five mortality rate,F: Female,2018,8.73890189,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,8.25348926,9.255928854,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,Albania,CME_MRY0T4: Under-five mortality rate,F: Female,2019,8.890261244,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,8.262795174,9.550272141,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,Albania,CME_MRY0T4: Under-five mortality rate,F: Female,2020,9.006087159,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,8.201560904,9.868023439,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,Albania,CME_MRY0T4: Under-five mortality rate,M: Male,2016,10.15810655,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,9.717043463,10.60227061,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,Albania,CME_MRY0T4: Under-five mortality rate,M: Male,2017,10.15833702,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,9.689073651,10.63807337,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,Albania,CME_MRY0T4: Under-five mortality rate,M: Male,2018,10.2772696,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,9.731449092,10.86087699,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,Albania,CME_MRY0T4: Under-five mortality rate,M: Male,2019,10.45989091,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,9.756119114,11.22744887,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,Albania,CME_MRY0T4: Under-five mortality rate,M: Male,2020,10.6423358,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,9.717903285,11.66890823,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,2016,9.416254666,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,9.057493739,9.780140329,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,2017,9.418757754,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,9.036702677,9.813230092,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,2018,9.531429646,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,9.059728895,10.01818595,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,2019,9.692453665,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,9.079219538,10.35373893,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,Albania,CME_MRY0T4: Under-five mortality rate,_T: Total,2020,9.843317701,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,9.015159292,10.74107939,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,Algeria,CME_MRY0T4: Under-five mortality rate,F: Female,2016,23.3012692,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,22.76117537,23.85100729,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,Algeria,CME_MRY0T4: Under-five mortality rate,F: Female,2017,22.79853869,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,22.30333972,23.30797481,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,Algeria,CME_MRY0T4: Under-five mortality rate,F: Female,2018,22.33652811,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,21.81740861,22.87191406,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,Algeria,CME_MRY0T4: Under-five mortality rate,F: Female,2019,21.82610644,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,21.10952219,22.57022387,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,Algeria,CME_MRY0T4: Under-five mortality rate,F: Female,2020,21.26737831,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,20.14925651,22.43922553,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,Algeria,CME_MRY0T4: Under-five mortality rate,M: Male,2016,26.1938368,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,25.59775979,26.79980202,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,Algeria,CME_MRY0T4: Under-five mortality rate,M: Male,2017,25.75753482,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,25.21715893,26.32491923,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,Algeria,CME_MRY0T4: Under-five mortality rate,M: Male,2018,25.19901598,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,24.62093254,25.7900721,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,Algeria,CME_MRY0T4: Under-five mortality rate,M: Male,2019,24.61699368,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,23.82960771,25.46131305,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,Algeria,CME_MRY0T4: Under-five mortality rate,M: Male,2020,24.03920218,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,22.81337041,25.35682305,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,Algeria,CME_MRY0T4: Under-five mortality rate,_T: Total,2016,24.78314998,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,24.2403115,25.33237765,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,Algeria,CME_MRY0T4: Under-five mortality rate,_T: Total,2017,24.31307227,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,23.82145095,24.83061939,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,Algeria,CME_MRY0T4: Under-five mortality rate,_T: Total,2018,23.80356728,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,23.27531866,24.34113875,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,Algeria,CME_MRY0T4: Under-five mortality rate,_T: Total,2019,23.25806207,,"D_PER_1000_B: Deaths per 1,000 live births",A: Normal value,,22.5165107,24.03574573,,,,UN_IGME,,,,,,_T: Total
